id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,is_superhost
930555943935568458,517584654,Cuauhtémoc,19.41232767563909,-99.15735637474867,Private room,450.0,2,7,0.28,3,362,5,0
930566470239194448,524318981,Cuauhtémoc,19.41901,-99.16561,Private room,6241.0,1,0,0.0,11,326,0,0
930576133018636863,524318981,Cuauhtémoc,19.41846019975115,-99.16751433628296,Private room,4185.0,1,0,0.0,11,250,0,0
930777841389435246,110647700,Álvaro Obregón,19.37845018426696,-99.25573549199596,Entire home/apt,1744.0,1,1,0.05,1,364,0,0
930927132028765841,124491467,Iztacalco,19.40473,-99.11428,Private room,925.0,1,33,1.28,1,293,23,1
931220522721509599,524513888,Cuauhtémoc,19.4181446,-99.1570726,Private room,1039.0,1,1,0.09,1,268,1,0
931221891276891371,45906120,Cuauhtémoc,19.43257,-99.14245,Entire home/apt,1092.0,3,59,2.32,3,277,34,1
931378477107092881,500629396,Gustavo A. Madero,19.467451942148525,-99.13936259151689,Private room,239.0,1,11,0.42,2,253,2,0
931378559821851085,290847419,Benito Juárez,19.39518,-99.17647,Entire home/apt,1619.0,2,75,2.79,1,86,28,1
931743252588716069,37738190,Cuauhtémoc,19.4235389,-99.1686115,Entire home/apt,2560.0,3,70,2.83,1,180,25,1
931798307947916303,92898821,Benito Juárez,19.39516243138413,-99.15135953575373,Entire home/apt,886.0,2,31,1.21,1,328,19,1
931833351025398393,108728752,Gustavo A. Madero,19.51743784841346,-99.1376669041558,Private room,700.0,1,7,0.28,10,365,2,0
931866606157842778,524661078,Álvaro Obregón,19.3540752,-99.1898074,Entire home/apt,1200.0,2,88,3.77,2,215,48,1
931923842455066085,78940508,Cuauhtémoc,19.410717409110728,-99.16689920208424,Entire home/apt,1370.0,3,6,0.23,1,4,3,0
932018843477800924,340120411,Cuauhtémoc,19.4278815,-99.1645704,Entire home/apt,1253.0,1,97,3.64,8,226,39,1
932072132239993696,523892418,Benito Juárez,19.3753325,-99.1594965,Entire home/apt,1080.0,1,0,0.0,1,174,0,0
932072290217190673,171294913,Cuauhtémoc,19.4284,-99.15288,Entire home/apt,1115.0,3,13,0.48,1,301,4,0
932077369066400466,151968944,Cuauhtémoc,19.4188255,-99.1555827,Private room,405.0,2,0,0.0,1,267,0,0
932104477421677936,524748477,Miguel Hidalgo,19.40369031400694,-99.17608943558196,Entire home/apt,950.0,3,46,1.76,1,0,5,0
932128744565585326,524477644,Cuauhtémoc,19.428621524586152,-99.1710564280274,Private room,716.0,1,264,9.83,7,115,93,1
932132287051353574,474873690,Miguel Hidalgo,19.4305109,-99.2022128,Entire home/apt,1750.0,15,72,2.68,17,38,48,0
932145117093460015,130511678,Cuauhtémoc,19.41709474834004,-99.16543308645488,Private room,304.0,1,17,0.66,3,200,0,0
932169854752755918,474873690,Miguel Hidalgo,19.4303446,-99.202527,Entire home/apt,2927.0,2,82,3.05,17,55,37,0
932177623956510854,26083775,Cuauhtémoc,19.41216,-99.16351,Entire home/apt,1175.0,3,29,1.14,1,290,15,1
932522394054869873,333035396,Cuauhtémoc,19.4128147,-99.1791761,Entire home/apt,1311.0,1,139,5.19,156,262,56,1
